id,sentence,label,detailed_source,Morphology,Semantics,Syntax,Hallucination
53,"Идя вдоль берега, морской воздух приятно освежал наши лица.",0,USE8,0,0,1,0
54,"Передо мной появился не холостяк, а молоденькая девушка.",1,Paducheva2013,0,0,0,0
55,Иван не заставил меня написать диссертацию.,1,Paducheva2013,0,0,0,0
56,Около больного стояла ваза с цветами.,1,Seliverstova,0,0,0,0
57,"Приведя собаку, мальчик привяжет ее.",1,Testelets,0,0,0,0
58,Бесконечные вопросы родственников его раздражали.,1,Paducheva2004,0,0,0,0
59,"Известно, что по неиспытанным для нас судьбам Божиим, разныя в мире находятся веры, и всякой народ к вере естественную имеет привязанность.",1,Paducheva2013,0,0,0,0
60,"Неведомая сила, казалось, привлекала его к нему.",1,Paducheva2010,0,0,0,0
61,"Говорят, что он ее чем-нибудь обидел.",0,Seliverstova,0,1,0,0
62,Я считаю его талантливым ученым.,1,Seliverstova,0,0,0,0
63,Ты тогда вешал карту?,1,Paducheva2010,0,0,0,0
64,Всю следующую неделю я сижу дома.,1,Paducheva2010,0,0,0,0
65,Я перестал понимать что бы то ни было.,1,Paducheva2013,0,0,0,0
66,Весь день я провела возле плиты.,1,Seliverstova,0,0,0,0
67,"Кто бы ни приезжали в наш городок, все поражались чистоте и опрятности, в какой содержатся дворы, улицы, пристань.",0,USE8,0,0,1,0
68,"Впереди, возле багажного вагона, кто-то машет фонарем.",1,Seliverstova,0,0,0,0
69,Кто-то видел каждого из них.,1,Testelets,0,0,0,0
70,В это время мы сидели за столом и обедали.,1,Seliverstova,0,0,0,0
71,У него было много всяких дел.,1,Seliverstova,0,0,0,0
72,"Зина считает, что очень нужно ему в очереди стоять.",0,Paducheva2010,0,1,0,0
73,"Но ей не надо соглашаться, а пусть она мне даст полную доверенность на управление своими делами, и я выиграю ей тяжбу непременно.",1,Paducheva2013,0,0,0,0
74,Более простых решений мне неизвестно.,1,Paducheva2004,0,0,0,0
75,Никто его не видел.,1,Paducheva2013,0,0,0,0
76,"Граф же Строганов внимательно слушал каждую лекцию с начала до конца, никогда не оскорбляя профессора преждевременным выходом из аудитории.",1,Paducheva2013,0,0,0,0
77,"В этой голове гудел тяжелый колокол, между глазными яблоками и закрытыми веками проплывали коричневые пятна с огненно-зеленым ободком.",1,Testelets,0,0,0,0
78,Обращаю ваше внимание на следующую неточность.,1,Paducheva2004,0,0,0,0
79,Она часто видится с кем-то из них.,1,Seliverstova,0,0,0,0
80,"Такую нагрузку, будь ты хоть двужильным, потянуть невозможно.",1,Testelets,0,0,0,0
81,Он промахнулся кулаком мне в лицо.,0,Testelets,0,0,1,0
82,Девушек на сцене не пело.,0,Rusgram,0,1,0,0
83,"Людей ругают или хвалят за их дела, а не за национальность.",1,USE7,0,0,0,0
84,Ее изнеженные пальцы не знали игл.,1,Paducheva2004,0,0,0,0
85,"Она любила Анну, но ей приятно было видеть, что и у нее есть слабости.",1,Seliverstova,0,0,0,0
86,У следователя недостаточно улик.,1,Testelets,0,0,0,0
87,У него воспаление легких.,1,Seliverstova,0,0,0,0
88,Я не вижу смысла.,1,Testelets,0,0,0,0
89,Горы поражают своим величием.,1,Paducheva2004,0,0,0,0
90,Герой произведения чувствует себя совершенно одиноким в огромном враждебном мире.,1,USE5,0,0,0,0
91,"Газету не принесли, и отец сам пошел на почту.",1,Paducheva2010,0,0,0,0
92,Я даже аспирин принимала.,1,Paducheva2010,0,0,0,0
93,"Только если операцию сделают немедленно, то останется еще какая-то надежда его спасти.",0,Rusgram,0,0,1,0
94,Я смотрела этот глупый фильм.,1,Paducheva2010,0,0,0,0
95,Днище лодки скрежетало о камни.,1,Paducheva2004,0,0,0,0
96,Я схватился за перила.,1,Seliverstova,0,0,0,0
97,На прошлой неделе картина продана.,0,Paducheva2004,0,1,0,0
98,Трон достался убийце своего брата.,0,Testelets,0,0,1,0
99,Этот будь был очень тяжелым.,0,Testelets,0,0,1,0
100,Поблизости от нашего лагеря поселился медведь и стал время от времени наведываться к нам.,1,Seliverstova,0,0,0,0
101,"Будь вы повнимательней, ошибка была бы исправлена.",1,Testelets,0,0,0,0
102,Меня рассердила его невнимательность.,1,Paducheva2004,0,0,0,0
103,"И пошлите кого-нибудь к Фу Чану, чтоб захватили несколько пар туфель.",1,USE7,0,0,0,0
104,Иван не перестал бить свою жену.,1,Paducheva2013,0,0,0,0
105,"Он считает, что вдалеке виднелись мы с Володей.",1,Paducheva2010,0,0,0,0
106,"Она красива, но я так не считаю.",0,Paducheva2013,0,1,0,0
107,В это время мы сидели у стола и обедали.,0,Seliverstova,0,1,0,0
108,Оштрафованы злостные нарушители правил дорожного движения.,1,USE5,0,0,0,0
109,Присутствие кошек в древней китайской деревне доказывает о давнем взаимовыгодном сожительстве этих животных с людьми.,0,USE8,0,0,1,0
110,Книга «Губернские очерки» М.Е. Салтыкова-Щедрина направлены против помещичьего гнёта и чиновничьего произвола.,0,USE8,0,0,1,0
111,"Те, кто побывают в армянских горах, заметят, что впалитре пейзажей преобладают вулканические оттенки.",0,USE8,0,0,1,0
112,У вас есть боли?,1,Seliverstova,0,0,0,0
113,"Пратс принял это решение также потому, что знал о заговоре и о том, что не может его предотвратить.",1,Lutikova,0,0,0,0
114,Каждому из них было дано какое-нибудь задание.,1,Seliverstova,0,0,0,0
115,Трудно не делать что-нибудь.,1,Seliverstova,0,0,0,0
116,"На мгновенье возникло передо мной окровавленное лицо учительницы, но кровь не напугала, не отрезвила меня.",1,Paducheva2004,0,0,0,0
117,Стаканы есть поставлены в шкаф.,0,Testelets,0,0,1,0
118,"Посмотри, как далеко мы зашли.",1,Paducheva2004,0,0,0,0
119,Иван не повез жену в больницу.,1,Paducheva2013,0,0,0,0
120,"Я чувствую, что мне, кажется, придется уезжать.",1,Paducheva2010,0,0,0,0
121,Ее рука доверчиво на его плече.,0,Seliverstova,0,1,0,0
122,Он живет в небольшом городке на Волге.,1,Seliverstova,0,0,0,0
123,"Настя надела бальное платье и, напевая мелодию вальса, легко закружилась перед зеркалами, представляя себя героиней любимого балета, виденного ею в театре.",1,USE5,0,0,0,0
124,"Студентам, обоим хорошо знающим эскимосский язык, не разобрать здесь ни слова.",1,Testelets,0,0,0,0
125,Я однажды решал эту задачу.,1,Paducheva2010,0,0,0,0
126,"Я бежала, как бежит собака. .",0,Rusgram,0,0,1,0
127,"Оказалось, что она явно уехала.",0,Paducheva2010,0,1,0,0
128,Шампанское не было в холодильнике.,1,Paducheva2004,0,0,0,0
129,Он обиделся на мою шутку.,1,Paducheva2004,0,0,0,0
130,В этом дне была какая-то особенная прелесть.,1,Seliverstova,0,0,0,0
131,У меня сегодня есть занятия по английскому языку.,1,Seliverstova,0,0,0,0
132,Случай или закон определил их судьбу?,1,Rusgram,0,0,0,0
133,"Он может сделать все, что угодно.",1,Seliverstova,0,0,0,0
134,"Помирай скорее, терпенья нету думать о тебе.",1,Paducheva2010,0,0,0,0
135,Надо же было мне опоздать!,1,Paducheva2013,0,0,0,0
136,После конца смены я сижу на лавочке возле проходной.,1,Paducheva2010,0,0,0,0
137,Картины старых мастеров лучше смотрятся на расстоянии.,1,Paducheva2004,0,0,0,0
138,"Уже год стол сломан, и никто не побеспокоится о том, чтобы его починить.",1,Seliverstova,0,0,0,0
139,Завтра я приеду и подпишу акт.,1,Rusgram,0,0,0,0
140,Пелагея садится вблизи на припеке.,0,Seliverstova,0,1,0,0
141,"В конце концов это было просто юношеское предчувствие, сладкие туманы, но Ганину теперь казалось, что никогда такого рода предчувствие не оправдывалось так совершенно.",1,Paducheva2013,0,0,0,0
142,"Найми квартиру рядом; мы будем жить в большом доме близ источника, в мезонине.",1,Seliverstova,0,0,0,0
143,Куртки не было на вешалке два дня.,1,Paducheva2004,0,0,0,0
144,У нас так не разговаривают друг с другом.,1,Testelets,0,0,0,0
145,Она была в стороне от каких бы то ни было интриг.,1,Paducheva2013,0,0,0,0
146,Поселок расположен далеко от реки.,1,Seliverstova,0,0,0,0
147,"Между тем он по-прежнему отрицает свою вину, говорит, что «чист перед жителями области, Балакова и перед Россией».",1,Paducheva2004,0,0,0,0
148,"На спектакль ли Иван пришел, несмотря на головную боль?",1,Testelets,0,0,0,0
149,Не переходи улицу в этом месте.,1,Paducheva2013,0,0,0,0
150,Первые два дня он веселился.,1,Paducheva2010,0,0,0,0
151,Машу побил ее муж.,1,Paducheva2004,0,0,0,0
152,Она села отдохнуть у теннисного корта.,1,Seliverstova,0,0,0,0
153,"Иван войдя, он поздоровался.",0,Testelets,0,0,1,0
154,Ваня нигде не был.,1,Paducheva2013,0,0,0,0
155,Тут мы не вправе вступать в какую-либо полемику.,1,Paducheva2013,0,0,0,0
156,Но Дрынов получил приказ «ни шагу назад» и намерен был его выполнить.,1,Lutikova,0,0,0,0
157,"Я вынуждена буду ему сказать, что, все-таки, вы пришли с цветами.",1,Paducheva2010,0,0,0,0
158,В этой реке есть масса рыбы.,0,Paducheva2013,0,1,0,0
159,"Коллега, примите больного в свою палату.",1,Seliverstova,0,0,0,0
160,"Я показал этот текст студентам, обоим специалистам в эскимосском языке.",0,Testelets,0,0,1,0
161,Он принял на себя расследование этого запутанного дела.,1,Seliverstova,0,0,0,0
162,"Теперь часовому пришлось два или три раза зажигать огонь, чтобы прикурить.",1,Paducheva2004,0,0,0,0
163,Мы разбили бутылку пустой.,0,Testelets,0,0,1,0
164,Я принял его в свою лабораторию.,1,Seliverstova,0,0,0,0
165,Ты когда-нибудь находился в Казани?,0,Paducheva2010,0,1,0,0
166,"Эти варианты поведения не одобряются обществом, предпочитавшим принцип равной безопасности.",0,USE8,0,0,1,0
167,Во вторник он еще не подал заявление.,1,Paducheva2010,0,0,0,0
168,"Смотрел во всех углах, но ничего не нашел.",1,Paducheva2004,0,0,0,0
169,По коридору застучали знакомые каблуки.,1,Paducheva2004,0,0,0,0
170,Она взяла для больного сиделку.,1,Seliverstova,0,0,0,0
171,Этот фильм показывали по телевизору?,1,Paducheva2010,0,0,0,0
172,Он стоял совсем близко от меня.,1,Seliverstova,0,0,0,0
173,Его приняли на работу в Институт славяноведения.,1,Seliverstova,0,0,0,0
174,Врач лечит малярию хинином.,1,Paducheva2004,0,0,0,0
175,"Будь ему интересно там учиться, он бы не бросил институт.",1,Rusgram,0,0,0,0
176,"И соблазнить ее пытался, чтоб ей, конечно, угодить.",1,Paducheva2010,0,0,0,0
177,"Она украдкой не утёрла слезы, а папаша рассердился на неё за то, что она ревёт.",0,Paducheva2013,0,1,0,0
178,Здесь денег не лежало.,1,Testelets,0,0,0,0
179,Ты когда-нибудь роняла весло в реку?,0,Paducheva2010,0,1,0,0
180,Наташа положила цветы и села рядом.,1,Seliverstova,0,0,0,0
181,Его точка зрения на этот вопрос была высказана автором в других работах.,0,Testelets,0,0,1,0
182,"Помогай, кому угодно, какое мне дело.",1,Seliverstova,0,0,0,0
183,"Надев костюм в примерочной, он подгоняется по фигуре.",0,USE8,0,0,1,0
184,Ожидаемого скандала не разразилось.,1,Paducheva2004,0,0,0,0
185,"Вася сказал, что живет на Басманной.",1,Paducheva2013,0,0,0,0
186,Моего паспорта не было в сумке.,1,Paducheva2013,0,0,0,0
187,Быть другом Франции — это не значит быть недругом какой-нибудь другой страны.,1,Seliverstova,0,0,0,0
188,Кириллин день еще не миновал.,1,Paducheva2004,0,0,0,0
189,Я встретил ее здоровой.,1,Testelets,0,0,0,0
190,"Батьку Минная играет очень интересный актер Ю. Горобец (кажется, это пока его лучшая работа в кино).",1,Testelets,0,0,0,0
191,Поодаль прямо перед нами поднималась фонтанная струя.,0,Seliverstova,0,1,0,0
192,"Как ты хочешь, чтобы я написал?",0,Testelets,0,0,1,0
193,Нет ли у вас в чём-нибудь недостатка?,1,Paducheva2013,0,0,0,0
194,"Зина уверена, что Иван-то справится.",0,Paducheva2010,0,1,0,0
195,Мы все этого не хотим.,1,Paducheva2013,0,0,0,0
196,"Комната плохо освещена, поэтому работать в ней неудобно.",1,Testelets,0,0,0,0
197,"Машину занесло на повороте, развернув поперек шоссе.",1,Testelets,0,0,0,0
198,"Этот Коноплянников был дельным мужиком: не поленился сделать небольшой ремонт – обои свежие, оконные рамы выкрашены.",1,USE5,0,0,0,0
199,Он отказывался от каких бы то ни было предложений.,1,Paducheva2013,0,0,0,0
200,Букинист по моей просьбе продал книгу студенту.,1,Testelets,0,0,0,0
201,Мальчики принесли каждый по сумке.,1,Testelets,0,0,0,0
202,"Я надеялся, что она, может быть, еще придет.",1,Paducheva2010,0,0,0,0
203,"Все, кто посмотрел новую киноверсию «Войны и мира», был возмущён вольностью иностранного кинорежиссёра в искажении содержания романа.",0,USE8,0,0,1,0
204,Ты сидела слишком близко от него.,1,Seliverstova,0,0,0,0
205,Ни одной дыни не попало в наш магазин.,1,Paducheva2004,0,0,0,0
206,За дисциплинарный проступок работнику завода был вынесен строгий выговор.,1,USE5,0,0,0,0
207,Эту статью вам внима- тельно читать не надо.,1,Paducheva2013,0,0,0,0
208,В этом лесу водятся волки.,1,Paducheva2013,0,0,0,0
209,Собака все время находилась при мне.,1,Paducheva2004,0,0,0,0
210,Это не связано ни с какими конкретными задачами.,1,Paducheva2013,0,0,0,0
211,"Шимпанзе сидело в клетке и злобно скалилось, показывая жёлтые зубы.",0,USE8,0,0,1,0
212,Этих надписей прочитано не было.,0,Rusgram,0,0,1,0
213,"Трагедии Буденновска, Кизляра и Москвы не должны повториться.",1,Paducheva2013,0,0,0,0
214,"Рита сказала, что не помнит телефона.",1,Paducheva2013,0,0,0,0
215,В лесу раздавался топор дровосека.,1,Paducheva2010,0,0,0,0
216,Он сел рядом с ней и поцеловал ей руку.,1,Seliverstova,0,0,0,0
217,На самом деле нынешний мир под управлением США абсолютно лишен каких-либо моральных предрассудков.,1,Paducheva2013,0,0,0,0
218,"Вы, очевидно, не читали эту книжку?",1,Paducheva2013,0,0,0,0
219,"Я хочу, чтобы они зашли, когда ты /^спрятался.",1,Testelets,0,0,0,0
220,Старосты на собрании не было.,1,Paducheva2004,0,0,0,0
221,"Когда после окончания школы мой друг поступит на завод, он за короткое время приобретал квалификацию токаря.",0,USE8,0,0,1,0
222,"Вероятно, в Анне было что-нибудь особенное, потому что Бетси тотчас заметила это.",1,Seliverstova,0,0,0,0
223,В 2000 году за 28-м февраля следовало 1-е марта.,1,Paducheva2004,0,0,0,0
224,Есть блины с вареньем вкусное.,0,Testelets,0,0,1,0
225,Он вырос из ребенка в него.,0,Testelets,0,0,1,0
226,В коробочке лежало что-то белое.,1,Seliverstova,0,0,0,0
227,"Благодаря приёму олицетворения А.А. Фет наделяет явления природы настроениями, свойственными для людей.",0,USE8,0,0,1,0
228,Ты должен ей помочь.,1,Paducheva2013,0,0,0,0
229,Мальчишка схватился за кувшин и жадно принялся пить.,1,Seliverstova,0,0,0,0
230,По дороге шла женщина.,1,Seliverstova,0,0,0,0
231,Доклад написан уже час.,0,Seliverstova,0,1,0,0
232,Мотоцикл злобно тарахтел неисправным мотором.,1,Paducheva2004,0,0,0,0
233,"Достоевский не только унаследовал от Гоголя бытописательское начало, но и особое духовно-мистическое «измерение» образа Петербурга.",0,USE8,0,0,1,0
234,"А если туалет где и есть, то его, мягко говоря, не афишируют.",1,Paducheva2013,0,0,0,0
235,"Могло бы быть неверно, что я нахожусь там, где я сейчас нахожусь.",0,Paducheva2004,0,1,0,0
236,"Может и ему ни к чему ее воскресные, скажем, завтраки.",1,Paducheva2010,0,0,0,0
237,Он назначен в начальники всем корпусам.,1,Paducheva2004,0,0,0,0
238,Его принцип отвергает какое бы то ни было облучение мозга.,1,Paducheva2013,0,0,0,0
239,"Я заметил человека, который переплыл Ламанш.",0,Paducheva2004,0,1,0,0
240,Я определенно чувствовал: сейчас опять ненавижу ее.,1,Paducheva2010,0,0,0,0
241,Сектор обстрела просматривается плохо.,1,Paducheva2004,0,0,0,0
242,"Решая какую бы то ни было частную задачу, надо думать о языке в целом.",1,Paducheva2013,0,0,0,0
243,Он страшно был в отчаянии.,0,Seliverstova,0,1,0,0
244,"Язык — лучший показатель не только общей культуры, но и лучший воспитатель человека.",0,USE8,0,0,1,0
245,Гости почитали обязанностию восхищаться псарнею Кирила Петровича –– один Дубровский молчал и хмурился.,1,Paducheva2004,0,0,0,0
246,Больные у него были хорошо ухожены.,1,Seliverstova,0,0,0,0
247,Ты когда-нибудь разбивал ценную вазу?,1,Paducheva2010,0,0,0,0
248,Твоя справка не потребуется.,1,Paducheva2004,0,0,0,0
249,Теперь рассмотрел его Шухов вблизи.,1,Seliverstova,0,0,0,0
250,"Настоящее было прекрасно, а на смену ему приближалась весна, уже улыбающаяся издали и обещавшая тысячу радостей.",1,Seliverstova,0,0,0,0
251,Он не отдал мне дочери.,1,Paducheva2013,0,0,0,0
252,Она с полным безразличием приняла постигшую ее неудачу.,1,Seliverstova,0,0,0,0
253,Это лекарство имеет сильное действие.,1,Seliverstova,0,0,0,0
254,"Чтобы по-настоящему ощутить вкус французской столицы, то нужно свернуть с туристических маршрутов, сесть за столик в обычном кафе на углу и сделать заказ.",0,USE8,0,0,1,0
255,"На Маше ли он женился, или на Кате – все лучше, чем одному.",1,Rusgram,0,0,0,0
256,"Странное чувство я испытала в Валенсии, когда, гуляя по Старому городу, натыкаешься на витрину винного магазинчика дона Висенте.",0,USE8,0,0,1,0
257,"Заядлый рыбак этот Сашка: выезжая с руководителем своего предприятия на лед, топил уже три машины, но сам уцелел при этом.",1,Paducheva2010,0,0,0,0
258,Всю жизнь я была толстой.,1,Seliverstova,0,0,0,0
259,Деда этого разбивал уже паралич.,1,Paducheva2010,0,0,0,0
260,"Наверняка существует выход, но я его не знаю.",1,Paducheva2004,0,0,0,0
261,"Позолоченные подсвечники, мраморные скульптуры и искусная роспись в залах музея позволяют совершить путешествие во времени.",1,USE5,0,0,0,0
262,"Считайте, что я не знаю, что он приехал.",1,Paducheva2010,0,0,0,0
263,Он получил ее согласие.,1,Seliverstova,0,0,0,0
264,"Вина Джулии состояла в том, что она оставила ребенка без присмотра.",1,Paducheva2004,0,0,0,0
265,"Я пригрозил ему рассказать все, что знаю.",1,Testelets,0,0,0,0
266,"Я слышал вой и лай собак и радовался, воображая, что ехать неподалеку.",0,Seliverstova,0,1,0,0
267,"В новом парке представлена мозаика из луковичных цветов, изображающая знаменитый памятник истории.",1,USE5,0,0,0,0
268,"Каждый день у меня кто-то бывает: то сестра, то брат, то еще кто-нибудь.",1,Seliverstova,0,0,0,0
269,"Согласно приказа директора, победители школьной олимпиады получат дипломы и подарки.",0,USE8,0,0,1,0
270,"В последние годы Ливонской войны Ладога была одной из передовых крепостей, в задачу которых было отражать нападения шведов.",0,USE8,0,0,1,0
271,Я принимаю его теорию гранулярного пламени.,1,Seliverstova,0,0,0,0
272,Он никогда не ел каши.,1,Paducheva2013,0,0,0,0
273,В данный момент он ест два яйца.,0,Paducheva2010,0,1,0,0
274,"Всё вокруг: лес, поле, журчащий ручей — было красиво необыкновенно трогательной красотой, так много говорящие русскому сердцу.",0,USE8,0,0,1,0
275,Ты должен взять любую из этих книг.,0,Seliverstova,0,1,0,0
276,Однажды она встретила его принаряженным.,1,Testelets,0,0,0,0
277,Так он тебе и скажет!,1,Paducheva2013,0,0,0,0
278,"Приятель, выслушав Владимира, пообещал ему, что однозначно помогу справиться со всеми трудностями.",0,USE8,0,0,1,0
279,"Студентам, обоим сведущим в эскимосском языке, не удалось разобрать здесь ни слова.",1,Testelets,0,0,0,0
280,Целый день я скитаюсь по пустым равнинам.,1,Paducheva2010,0,0,0,0
281,"Он сказал мне, где он живет.",1,Paducheva2004,0,0,0,0
282,"Я слишком устал, чтобы спорить с кем бы то ни было.",1,Rusgram,0,0,0,0
283,Он опозорил семью женитьбой на служанке.,1,Paducheva2013,0,0,0,0
284,"Вопреки ожиданий служба в полку была полна неожиданностей, зачастую приятных.",0,USE8,0,0,1,0
285,Он всегда знает английский язык.,0,Paducheva2010,0,1,0,0
286,Чаю у нас нет.,1,Paducheva2013,0,0,0,0
287,На конференции обсуждались проблемы становления целостной личности в период взросления и осознания смысла жизни.,1,USE5,0,0,0,0
288,Хороший был слесарь — любые замки открывал.,1,Paducheva2013,0,0,0,0
289,Миша пожертвовал две тысячи долларов на благотворительность.,1,Rusgram,0,0,0,0
290,Я ребят каждого предупредил.,1,Testelets,0,0,0,0
291,"Он был революционером в жизни, выступая за «народность» искусства как высшей его ценности,.",1,Rusgram,0,0,0,0
292,Это был не портрет.,1,Paducheva2013,0,0,0,0
293,У нас в лесу есть озеро.,1,Seliverstova,0,0,0,0
294,С принятием христианства русская культура преодолевает локальную ограниченность и приобретает универсальные намерения.,1,Paducheva2010,0,0,0,0
295,Нужного лекарства в аптеке не нашлось.,1,Paducheva2004,0,0,0,0
296,Мне стыдно было напрашиваться на какое бы то ни было внимание к себе после более чем двух десятилетий молчания.,1,Paducheva2013,0,0,0,0
297,Ты гулял с собакой?,1,Paducheva2010,0,0,0,0
298,Он убит вблизи города.,1,Testelets,0,0,0,0
299,"Как широкая река, этот поток заполняет собою книгу от корки до корки, и не всякая птица долетит до середины могучего потока.",1,Testelets,0,0,0,0
300,"Меня отвели и крышку к гробу стали прибивать молотком гвоздями, но когда услыхал, что земля уже застучала о крышку гроба, ― я вздрогнул.",0,Testelets,0,0,1,0
301,Я снял нитку с перчатки.,1,Seliverstova,0,0,0,0
302,"Ты когда-нибудь замечал, что он странно себя ведет?",1,Paducheva2010,0,0,0,0
303,Судьба не всегда бывает к нам благосклонна.,1,Paducheva2013,0,0,0,0
304,Я был несколько раз в их квартире.,1,USE7,0,0,0,0
305,Демократичный стиль управления подразумевает гармоничное распределение инициативы и ответственности между руководством и подчинёнными.,1,USE5,0,0,0,0
306,"Студенты, сами хорошо знающие эскимосский язык, не смогли разобрать здесь ни слова.",1,Testelets,0,0,0,0
307,По завершению эксперимента учёные опубликуют аналитический отчёт.,0,USE8,0,0,1,0
308,Я разбирал нечто похожее в прошлом году.,1,Paducheva2010,0,0,0,0
309,"Вася сказал Дуне, где он живет.",1,Paducheva2004,0,0,0,0
310,"Город полон военных, и возле нашего здания всегда толпятся моряки — ждут.",1,Seliverstova,0,0,0,0
311,Я этого не понял.,1,Paducheva2013,0,0,0,0
312,Я смотрю на корабль.,1,Paducheva2004,0,0,0,0
313,Она прижала к себе ребенка.,1,Seliverstova,0,0,0,0
314,Дождь поморосил и кончился.,1,Paducheva2010,0,0,0,0
315,Чужие дети всегда растут быстро.,1,Seliverstova,0,0,0,0
316,Что же ты не предложишь мне сесть?,1,Paducheva2010,0,0,0,0
317,Сплошная проверка обнаружила массу ошибок.,1,Paducheva2004,0,0,0,0
318,Я не взяла ключи.,1,Paducheva2013,0,0,0,0
319,"Я спрашиваю, хотите ли вы чаю.",1,Paducheva2004,0,0,0,0
320,"В долинах, пастбищах, склонах гор зазеленела трава, воздух наполнился ароматом весны.",0,USE8,0,0,1,0
321,"Я нахожусь там, где я сейчас нахожусь.",1,Paducheva2004,0,0,0,0
322,Я обращаюсь за советом именно к вам.,1,Paducheva2010,0,0,0,0
323,Там самые мощные компьютера обрабатывают колоссальный объём информации и составляют прогнозы погоды для всех регионов планеты.,0,USE7,1,0,0,0
324,Я была вчера на демонстрации.,1,Seliverstova,0,0,0,0
325,Многие ценные предложения были учтены в подготовленной энциклопедии к переизданию.,0,USE8,0,0,1,0
